1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""April 13, 2023""","""present""","""progressive (are engaged)""","""no""",the duly authorized officers and case 3:23 - cv-00466 document 1 filed 04/13/23 page 1 of 10 2 agents of the union are engaged in representing and acting for the employee members of the union in the district of connecticut .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""no verbs""","""no verbs""","""no""",parties,,,,,,,,
"""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""","""No""",[],"""Past""","""Simple""","""No""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""habitual aspect (would regularly)""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""stopped - indicates a change in state or cessation""","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
,,,,,,,,,,,,,"after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""perfect (has caused)""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""Yes""","""Yes""","""Yes""","""Yes""","""Yes""","""No""","""No""","""Yes""","""No""","[""04/13/23""]","""Past""","""was forced (perfective aspect), to pay (infinitive used prospectively), had directed (past perfect)""","""No""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""none specifically indicated beyond simple past tense""","""no""","however , after speaking with defendant ip martinez and being persuaded that he would support pantojas efforts to place lodge 2198 under supervision and to stop corruption at the iam , pantoja agreed not to run against defendant cervantes.\ , "" after the election , pantoja formally asked the executive council to place local 2198 under supervision .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""",,"""past""",,"""no""","defendant gst cervantes , through defendant bryant , who was the gvp assigned to assist her , opposed supervision and campaigned to have the executive council case 1:22 - cv-02512 document 1 filed 08/22/22 page 6 of 18 7 vote against taking any action .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""would (modal verb indicating future intention in the past context)""","""yes""","despite defendant ip martinezs assurances to pantoja that he would help to stop the corruption at local 2198 , the executive council rejected pantoja s motion .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple""","""no""",""" , "" several months later , pantoja again demanded that the iam take remedial action ; and , the executive council finally voted to impose supervision .",,,,,,,,
"""yes""","""yes""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""","[""2018""]","""past""","""simple""","""no""","ultimately , local lodge 2198 filed a 2018 form lm-2 with the u.s . department of labor , in which it acknowledged that there was a shortage attributable to local lodge 2198",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""May 12, 2023""]","""past""","[""past simple""]","""no""","trachte objected to the procedural arbitrability of grievance , arguing that it was not arbitrable because local 565 filed the arbitration request more than 15 days after trachte denied the grievance on may 12 , 2023 , and that it was untimely regardless of whether the 15 days were counted by working days or calendar days .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific aspectual markers""","""yes""","the parties agreed to bifurcate the arbitration , to brief the issue of procedural arbitrability first , and to only have a hearing on the merits if arbitrator jaw determined the grievance was arbitrable .",,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""December 11, 2023""","""past""","""none identified""","""no""","on december 11 , 2023 , arbitrator jaw issued the amended award similarly holding that the grievance was arbitrable .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""not applicable""","""not applicable""","""no""",( exhibit 2 ) .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""none""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""would regularly""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""No""","""Yes""","""Yes""","""No""","""No""","""No""","""No""","""No""","""Yes""",[],"""Past""","""Simple""","""No""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""yes""","""no""","""no""","""yes""","[""end of May"", ""first 2 weeks of June""]","""present simple, future simple""","[""should"", ""are not allowing""]","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""simple""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""has caused (perfect aspect)""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""Yes""","""Yes""","""Yes""","""Yes""","""Yes""","""No""","""No""","""Yes""","""No""","[""04/13/23""]","""Past""","""was forced - passive voice""","""No""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
